game	GXP_v0.1	sexyparo	\N	\N	\N	\N	\N	Sexy Parodius [sound only]	1996	Konami	\N	\N	\N	
game_rom	GXP_v0.1	sexyparo	533a08.9c	\N	\N	131072	06d14cff	21c01a06eabfacc4ac1d83bfad389f3dfa41b95f	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	sexyparo	533a09.7c	\N	\N	131072	a93c6f0b	bee1abab985c7163212cad1a4bc0a427804dfed3	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	sexyparo	533a22.9g	\N	\N	2097152	97233814	dba20a81517796b7baf7c82551bd7f1c1a8ecd7e	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	sexyparo	533a23.7g	\N	\N	2097152	1bb7552b	3c6f96b4ab97737c3634c08b94dd304d5517d88d	\N	\N	\N	\N	\N	\N	
game	GXP_v0.1	salmndr2	\N	\N	\N	\N	\N	Salamander 2 [sound only]	1996	Konami	\N	\N	\N	
game_rom	GXP_v0.1	salmndr2	521-a04.9c	\N	\N	65536	efddca7a	ac6b45044b6abeb2455ec21a61322185bf1c7219	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	salmndr2	521-a05.7c	\N	\N	65536	51a3af2c	94d220ae619d53747bd3e762000ed59cf1b4d305	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	salmndr2	521-a12.9g	\N	\N	2097152	66614d3b	e1e5ebe546bced6ab74b0af500acf0f3308902a4	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	salmndr2	521-a13.7g	\N	\N	1048576	c3322475	1774524ff031e0c4a7f3432810e968d37f9c6331	\N	\N	\N	\N	\N	\N	
game	GXP_v0.1	rng2	\N	\N	\N	\N	\N	Run 'n' Gun 2 [sound only]	1996	Konami	\N	\N	\N	
game_rom	GXP_v0.1	rng2	505a06	\N	\N	131072	920013f1	6bd7f2bdeaa777412d12eeef4ba6c7f952805739	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	rng2	505a07	\N	\N	131072	5641c603	1af1f92032e7f870e1668e8d720742fb53c4d0e2	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	rng2	505a23	\N	\N	2097152	67f03445	9b5c1d1bb7b0ee275862d10effd9daed49568af4	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	rng2	505a22	\N	\N	2097152	c2b67a9d	9ff091972d7fad50bf0df2b3d8b5ee989e3df27f	\N	\N	\N	\N	\N	\N	
game	GXP_v0.1	soccerss	\N	\N	\N	\N	\N	Soccer Superstars [sound only]	1994	Konami	\N	\N	\N	
game_rom	GXP_v0.1	soccerss	427a07.6m	\N	\N	131072	8dbaf4c7	cb69bf94090a4871b35e7ba1f58e3225077b82cd	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	soccerss	427a06.9m	\N	\N	131072	979df65d	7499e9a27aa562692bd3a296789696492a6254bc	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	soccerss	427a16.9r	\N	\N	2097152	39547265	c0efd68c0c1ea59141045150842f36d43e1f01d8	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	soccerss	427a15.11r	\N	\N	1048576	33ce2b8e	b0936386cdc7c41f33b1d7b4f5ce25fe618d1286	\N	\N	\N	\N	\N	\N	
game	GXP_v0.1	tbyahhoo	\N	\N	\N	\N	\N	Twinbee Yahhoo [sound only]	1995	Konami	\N	\N	\N	
game_rom	GXP_v0.1	tbyahhoo	424a06.9c	\N	\N	131072	a4760e14	78dbd309f3f7fa61e92c9554e594449a7d4eed5a	\N	\N	\N	\N	\N	\N	
game_rom	GXP_v0.1	tbyahhoo	424a07.7c	\N	\N	131072	fa90d7e2	6b6dee29643309005834416bdfdb18d74f34cb1b	\N	\N	\N	\N	\N	\N	
